Name,Amount,District
"Cammack, Kat","$1,500",R-FL
"Kiley, Sue","$1,500",R-NJ
"Miller, Carol","$1,500",R-WV
"Flood, Mike","$1,250",R-NE
"Owens, Burgess","$1,250",R-UT
"Biggs, Andy","$1,150",R-AZ
"Beutler, Jaime Herrera","$1,000",R-WA
"Good, Bob","$1,000",R-VA
"Moore, Barry","$1,000",R-AL
"Gallagher, Mike",$700,R-WI
"LaHood, Darin",$600,R-IL
"Banks, Jim",$524,R-IN
"Cao, Hung",$515,R-VA
"Aderholt, Robert B",$500,R-AL
"Allen, Richard W",$500,R-GA
"Armstrong, Kelly",$500,R-ND
"Arrington, Jodey",$500,R-TX
"Babin, Brian",$500,R-TX
"Baird, Jim",$500,R-IN
"Balderson, Troy",$500,R-OH
"Barr, Andy",$500,R-KY
"Bergman, John",$500,R-MI
"Bilirakis, Gus",$500,R-FL
"Bishop, Dan",$500,R-NC
"Bost, Mike",$500,R-IL
"Brady, Kevin",$500,R-TX
"Bucshon, Larry",$500,R-IN
"Burchett, Tim",$500,R-TN
"Burgess, Michael",$500,R-TX
"Carl, Jerry",$500,R-AL
"Carter, Buddy",$500,R-GA
"Carter, John",$500,R-TX
"Cline, Ben",$500,R-VA
"Cloud, Michael",$500,R-TX
"Clyde, Andrew",$500,R-GA
"Comer, James",$500,R-KY
"Crawford, Rick",$500,R-AR
"Davidson, Warren",$500,R-OH
"Donalds, Byron",$500,R-FL
"Duncan, Jeff",$500,R-SC
"Dunn, Neal",$500,R-FL
"Fallon, Patrick",$500,R-TX
"Feenstra, Randy",$500,R-IA
"Fitzgerald, Scott",$500,R-WI
"Fleischmann, Chuck",$500,R-TN
"Franklin, Scott",$500,R-FL
"Fulcher, Russ",$500,R-ID
"Gonzales, Tony",$500,R-TX
"Gooden, Lance",$500,R-TX
"Gosar, Paul",$500,R-AZ
"Graves, Garret",$500,R-LA
"Graves, Sam",$500,R-MO
"Green, Mark",$500,R-TN
"Greene, Marjorie Taylor",$500,R-GA
"Grothman, Glenn S",$500,R-WI
"Guest, Michael",$500,R-MS
"Guthrie, Brett",$500,R-KY
"Higgins, Clay",$500,R-LA
"Hollingsworth, Trey",$500,R-IN
"Hudson, Richard",$500,R-NC
"Huizenga, Bill",$500,R-MI
"Issa, Darrell",$500,R-CA
"Jackson, Ronny",$500,R-TX
"Johnson, Bill",$500,R-OH
"Johnson, Dusty",$500,R-SD
"Johnson, Mike",$500,R-LA
"Joyce, John",$500,R-PA
"Kelly, Mike",$500,R-PA
"Kelly, Trent",$500,R-MS
"LaMalfa, Doug",$500,R-CA
"Lamborn, Doug",$500,R-CO
"Latta, Bob",$500,R-OH
"Laturner, Jake",$500,R-KS
"Lipinski, Daniel",$500,D-IL
"Loudermilk, Barry",$500,R-GA
"Luetkemeyer, Blaine",$500,R-MO
"Mann, Tracey",$500,R-KS
"Massie, Thomas",$500,R-KY
"Mast, Brian",$500,R-FL
"McCaul, Michael",$500,R-TX
"Meuser, Dan",$500,R-PA
"Moolenaar, John",$500,R-MI
"Moore, Blake",$500,R-UT
"Murphy, Greg",$500,R-NC
"Nehls, Troy",$500,R-TX
"Newhouse, Dan",$500,R-WA
"Norman, Ralph",$500,R-SC
"Palmer, Gary",$500,R-AL
"Pence, Greg",$500,R-IN
"Peterson, Erik",$500,R-NJ
"Pfluger, August",$500,R-TX
"Rogers, Hal",$500,R-KY
"Rogers, Mike D",$500,R-AL
"Rose, John",$500,R-TN
"Rosendale, Matt",$500,R-MT
"Roy, Chip",$500,R-TX
"Rutherford, John",$500,R-FL
"Schweikert, David",$500,R-AZ
"Scott, Austin",$500,R-GA
"Sessions, Pete",$500,R-TX
"Simpson, Mike",$500,R-ID
"Smith, Adrian",$500,R-NE
"Smith, Jason",$500,R-MO
"Smucker, Lloyd",$500,R-PA
"Stauber, Pete",$500,R-MN
"Steel, Michelle",$500,R-CA
"Steube, Greg",$500,R-FL
"Thompson, Glenn",$500,R-PA
"Timmons, William",$500,R-SC
"Valadao, David",$500,R-CA
"Waltz, Michael",$500,R-FL
"Weber, Randy",$500,R-TX
"Webster, Daniel",$500,R-FL
"Wenstrup, Brad",$500,R-OH
"Westerman, Bruce",$500,R-AR
"Williams, Roger",$500,R-TX
"Wilson, Joe",$500,R-SC
"Wittman, Rob",$500,R-VA
"Womack, Steve",$500,R-AR
"Millis, Tonya",$400,L-IN
"Serrano, Carolina",$250,R-NV
"Evans, Jerry",$200,R-IL
"Scalise, Steve",$140,R-LA
"Cawthorn, Madison",$30,R-NC
