cid,firstlast,lastname,office,gender,first_elected,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,feccandid,twitter_id,youtube_url,facebook_id,birthdate
N00033510,Raul Ruiz,Ruiz,CA25,M,2012,202-225-5330,202-225-1238,https://ruiz.house.gov,https://ruiz.house.gov/email-me,1319 Longworth House Office Building,R000599,136407,H2CA36439,CongressmanRuiz,https://youtube.com/repraulruiz,CongressmanRaulRuizMD,1972-08-25
N00034254,Julia Brownley,Brownley,CA26,F,2012,202-225-5811,202-225-1100,http://juliabrownley.house.gov,https://juliabrownley.house.gov/contact/email-me,1019 Longworth House Office Building,B001285,59904,H2CA00120,JuliaBrownley26,https://youtube.com/RepJuliaBrownley,RepJuliaBrownley,1952-08-28
N00044298,Mike Garcia,Garcia,CA27,M,2020,,,,,,,,,,,,
N00030600,Judy Chu,Chu,CA28,F,2009,202-225-5464,202-225-5467,https://chu.house.gov,http://chu.house.gov/connect-with-me/email-judy,2423 Rayburn House Office Building,C001080,16539,H0CA32101,RepJudyChu,https://youtube.com/RepJudyChu,RepJudyChu,1953-07-07
N00033373,Tony Cardenas,Cardenas,CA29,M,2012,202-225-6131,202-225-0819,https://cardenas.house.gov,https://cardenas.house.gov/contact/email-me,1510 Longworth House Office Building,C001097,9754,H2CA28113,RepCardenas,https://youtube.com/repcardenas,repcardenas,1963-03-31
N00009585,Adam Schiff,Schiff,CA30,M,2000,202-225-4176,202-225-5828,http://schiff.house.gov,https://schiff.house.gov/email-congressman-schiff1,2372 Rayburn House Office Building,S001150,9489,H0CA27085,RepAdamSchiff,https://youtube.com/adamschiff,RepAdamSchiff,1960-06-22
N00006789,Grace Napolitano,Napolitano,CA31,F,1998,202-225-5256,202-225-0027,http://napolitano.house.gov,https://napolitano.house.gov/contact-me/email-me,1610 Longworth House Office Building,N000179,8393,H8CA34068,GraceNapolitano,https://youtube.com/RepGraceNapolitano,RepGraceNapolitano,1936-12-04
N00006897,Brad Sherman,Sherman,CA32,M,1996,202-225-5911,202-225-5879,http://sherman.house.gov,http://sherman.house.gov/contact/contact-congressman-sherman-form,2181 Rayburn House Office Building,S000344,142,H6CA24113,BradSherman,https://youtube.com/shermanca27,63158229861,1954-10-24
N00033997,Pete Aguilar,Aguilar,CA33,M,2014,202-225-3201,202-226-6962,https://aguilar.house.gov,,1223 Longworth House Office Building,A000371,,H2CA31125,reppeteaguilar,,reppeteaguilar,1979-06-19
N00040597,Jimmy Gomez,Gomez,CA34,M,2017,202-225-6235,,https://gomez.house.gov,,1530 Longworth House Office Building,G000585,,,RepJimmyGomez,,RepJimmyGomez,1974-11-25
N00036107,Norma Torres,Torres,CA35,F,2014,202-225-6161,202-225-8671,https://torres.house.gov,,1713 Longworth House Office Building,T000474,,H4CA35031,NormaJTorres,,RepNormaTorres,1965-04-04
N00035825,Ted Lieu,Lieu,CA36,M,2014,202-225-3976,202-225-4099,https://lieu.house.gov,,236 Cannon House Office Building,L000582,,H4CA33119,RepTedLieu,,RepTedLieu,1969-03-29
N00049460,Sydney Kamlager,Kamlager,CA37,F,2022,,,,,,,,,,,,
N00024870,Linda Sanchez,Sanchez,CA38,F,2002,202-225-6676,202-226-1012,https://lindasanchez.house.gov,https://forms.house.gov/lindasanchez/webforms/issue_subscribe.htm,2329 Rayburn House Office Building,S001156,29674,H2CA39078,RepLindaSanchez,https://youtube.com/LindaTSanchez,CongresswomanLindaSanchez,1969-01-28
N00006701,Mark Takano,Takano,CA39,M,2012,202-225-2305,202-225-7018,https://takano.house.gov,https://takano.house.gov/contact/email-me,1507 Longworth House Office Building,T000472,22337,H2CA43245,RepMarkTakano,https://youtube.com/RepMarkTakano,RepMarkTakano,1960-12-10
N00042386,Young Kim,Kim,CA40,F,2020,202225-4111,,https://youngkim.house.gov/,,"1306 Longworth House Office Building Washington, DC  20515",K000397,151787,,@RepYoungKim,,,10/18/62
N00007099,Ken Calvert,Calvert,CA41,M,1992,202-225-1986,202-225-2004,http://calvert.house.gov,https://calvert.house.gov/contactform/,2205 Rayburn House Office Building,C000059,26777,H2CA37023,KenCalvert,https://youtube.com/RepKenCalvert,RepKenCalvert,1953-06-08
N00049470,Robert Garcia,Garcia,CA42,M,2022,,,,,,,,,,,,
N00006690,Maxine Waters,Waters,CA43,F,1990,202-225-2201,202-225-7854,https://waters.house.gov,https://waters.house.gov/contact/contactform.htm,2221 Rayburn House Office Building,W000187,26759,H4CA23011,MaxineWaters,https://youtube.com/MaxineWaters,MaxineWaters,1938-08-15
N00037019,Nanette Barragan,Barragan,CA44,F,2016,202-225-8220,,https://barragan.house.gov,,1320 Longworth House Office Building,B001300,,,RepBarragan,,CongresswomanBarragan,1976-09-15
N00044501,Michelle Steel,Steel,CA45,F,2020,202225-2415,,https://steel.house.gov/,,"1113 Longworth House Office Building Washington, DC  20515",S001135,,,@RepSteel,,,06/21/55
N00037260,Lou Correa,Correa,CA46,M,2016,202-225-2965,,https://correa.house.gov,,1039 Longworth House Office Building,C001110,,,RepLouCorrea,,RepLouCorrea,1958-01-24
N00040865,Katie Porter,Porter,CA47,F,2018,202-225-5611,,https://porter.house.gov/,,1117 Longworth House Office Building,P000618,,,,,,1974-01-03
N00007017,Darrell Issa,Issa,CA48,M,2000,202-225-3906,202-225-3303,https://issa.house.gov,http://issa.house.gov/contact/contact-me,2269 Rayburn House Office Building,I000056,16553,H0CA48024,DarrellIssa,https://youtube.com/repdarrellissa,darrellissa,1953-11-01
N00040667,Mike Levin,Levin,CA49,M,2018,202-225-3906,,https://mikelevin.house.gov/,,1626 Longworth House Office Building,L000593,,,RepMikeLevin,,,1978-10-28
N00033591,Scott Peters,Peters,CA50,M,2012,202-225-0508,202-225-2558,http://scottpeters.house.gov,https://scottpeters.house.gov/contact/email-me,1122 Longworth House Office Building,P000608,70351,H2CA52089,RepScottPeters,,RepScottPeters,1958-06-17
N00042081,Sara Jacobs,Jacobs,CA51,F,2020,202225-2040,202225-2948,https://sarajacobs.house.gov/,,"1232 Longworth HOB Washington, DC 20515",J000305,,,@RepSaraJacobs,,,02/01/89
N00007021,Juan Vargas,Vargas,CA52,M,2012,202-225-8045,202-225-9073,http://vargas.house.gov,https://vargas.house.gov/contact,1605 Longworth House Office Building,V000130,29100,H2CA50026,RepJuanVargas,https://youtube.com/RepJuanVargas,RepJuanVargas,1961-03-07
N00047888,Alex Padilla,Padilla,CAS1,M,2021,202224- 3553,202224-2200,https://www.padilla.senate.gov/,,"Russell Senate Office Building Suite B03 Washington, DC 20510",P000145,,,@SenAlexPadilla,,,03/22/73
N00007364,Dianne Feinstein,Feinstein,CAS2,F,1992,202-224-3841,202-228-3954,https://www.feinstein.senate.gov,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,331 Hart Senate Office Building,F000062,53273,S0CA00199,SenFeinstein,https://youtube.com/SenatorFeinstein,senatorfeinstein,1933-06-22
N00006134,Diana DeGette,Degette,CO01,F,1996,202-225-4431,202-225-5657,http://degette.house.gov,https://degette.house.gov/contact/send-me-an-email/email-me,2111 Rayburn House Office Building,D000197,561,H6CO01141,RepDianaDeGette,https://youtube.com/RepDianaDeGette,DianaDeGette,1957-07-29
N00041080,Joseph Neguse,Neguse,CO02,M,2018,202-225-2161,,https://neguse.house.gov/,,1419 Longworth House Office Building,N000191,,,RepJoeNeguse,,,1984-05-13
N00045974,Lauren Boebert,Boebert,CO03,F,2020,202225-4761,,https://boebert.house.gov/,,"1609 Longworth House Office Building , Washington, DC 20515",B000825,,,@RepBoebert,,RepBoebert,12/15/86
N00030829,Ken Buck,Buck,CO04,M,2014,202-225-4676,202-225-5870,https://buck.house.gov,,1130 Longworth House Office Building,B001297,,S0CO00237,RepKenBuck,,repkenbuck,1959-02-16
N00028133,Doug Lamborn,Lamborn,CO05,M,2006,202-225-4422,202-226-2638,http://lamborn.house.gov,https://lambornforms.house.gov/contact-form,2402 Rayburn House Office Building,L000564,2698,H6CO05159,RepDLamborn,https://youtube.com/CongressmanLamborn,CongressmanDougLamborn,1954-05-24
N00040876,Jason Crow,Crow,CO06,M,2018,202-225-7882,,https://crow.house.gov/,,1229 Longworth House Office Building,C001121,,,RepJasonCrow,,,1979-03-15
N00040878,Brittany Pettersen,Pettersen,CO07,F,2022,,,,,,,,,,,,
N00049068,Yadira Caraveo,Caraveo,CO08,F,2022,,,,,,,,,,,,
N00030608,Michael Bennet,Bennet,COS1,M,2009,202-224-5852,202-228-5097,https://www.bennet.senate.gov,https://www.bennet.senate.gov/?p=contact,261 Russell Senate Office Building,B001267,110942,S0CO00211,SenBennetCo,https://youtube.com/SenatorBennet,senbennetco,1964-11-28
N00044206,John Hickenlooper,Hickenlooper,COS2,M,2020,202224-5941,,https://www.hickenlooper.senate.gov/,,"Russell Senate Office Building Suite SR-B85  Washington, DC 20510",H000273,,,@SenatorHick,,,02/07/52
N00000575,John Larson,Larson,CT01,M,1998,202-225-2265,202-225-1031,https://larson.house.gov,https://forms.house.gov/larson/contact_new.html,1501 Longworth House Office Building,L000557,17188,H8CT01046,RepJohnLarson,https://youtube.com/RepJohnLarson,RepJohnLarson,1948-07-22
N00024842,Joe Courtney,Courtney,CT02,M,2006,202-225-2076,202-225-4977,https://courtney.house.gov,https://courtney.house.gov/email-joe1,2348 Rayburn House Office Building,C001069,30333,H2CT02112,RepJoeCourtney,https://youtube.com/repcourtney,joecourtney,1953-04-06
N00000615,Rosa DeLauro,DeLauro,CT03,F,1990,202-225-3661,202-225-4890,https://delauro.house.gov,https://forms.house.gov/delauro/webforms/contact_form_email.shtml,2413 Rayburn House Office Building,D000216,26788,H0CT03072,RosaDeLauro,https://youtube.com/rosadelauro,CongresswomanRosaDeLauro,1943-03-02
N00029070,Jim Himes,Himes,CT04,M,2008,202-225-5541,202-225-9629,https://himes.house.gov,https://himes.house.gov/contact-me/email-me,1227 Longworth House Office Building,H001047,106744,H8CT04172,JAHimes,https://youtube.com/congressmanhimes,CongressmanJimHimes,1966-07-05
N00043421,Jahana Hayes,Hayes,CT05,F,2018,202-225-4476,,https://hayes.house.gov/,,1415 Longworth House Office Building,H001081,,,,,,1973-03-08
N00027566,Christopher S Murphy,Murphy,CTS1,M,2012,202-224-4041,202-225-5933,https://www.murphy.senate.gov,http://www.murphy.senate.gov/contact,136 Hart Senate Office Building,M001169,17189,H6CT05124,ChrisMurphyCT,https://youtube.com/senchrismurphy,chrismurphyct,1973-08-03
N00031685,Richard Blumenthal,Blumenthal,CTS2,M,2010,202-224-2823,202-224-9673,https://www.blumenthal.senate.gov,https://www.blumenthal.senate.gov/contact/,706 Hart Senate Office Building,B001277,1568,S0CT00177,SenBlumenthal,https://youtube.com/SenatorBlumenthal,SenBlumenthal,1946-02-13
N00038414,Lisa Blunt Rochester,Rochester,DE01,F,2016,202-225-4165,,https://bluntrochester.house.gov,,1123 Longworth House Office Building,B001303,,,RepBRochester,,Rep.BluntRochester,1962-02-10
N00012508,Tom Carper,Carper,DES1,M,2000,202-224-2441,202-228-2190,https://www.carper.senate.gov/public,http://www.carper.senate.gov/public/index.cfm/email-senator-carper,513 Hart Senate Office Building,C000174,22421,S8DE00079,SenatorCarper,https://youtube.com/senatorcarper,tomcarper,1947-01-23
N00031820,Chris Coons,Coons,DES2,M,2010,202-224-5042,202-228-3075,https://www.coons.senate.gov,https://www.coons.senate.gov/contact,127a Russell Senate Office Building,C001088,122834,S0DE00092,SenCoonsOffice,https://youtube.com/senatorchriscoons,senatorchriscoons,1963-09-09
N00001692,Eleanor Holmes Norton,Norton,DC00,F,1990,202-225-8050,202-225-3002,https://norton.house.gov,https://norton.house.gov/contact/email-me,2136 Rayburn House Office Building,N000147,775,H0DC00058,EleanorNorton,https://youtube.com/EleanorHNorton,CongresswomanNorton,1937-06-13
N00039503,Matt Gaetz,Gaetz,FL01,M,2016,202-225-4136,,https://gaetz.house.gov,,507 Cannon House Office Building,G000578,,,RepMattGaetz,,CongressmanMattGaetz,1982-05-07
N00037442,Neal Dunn,Dunn,FL02,M,2016,202-225-5235,,https://dunn.house.gov,,423 Cannon House Office Building,D000628,,,drnealdunnfl2,,drnealdunnfl2,1953-02-16
N00045978,Kat Cammack,Cammack,FL03,F,2020,202225-5744,202225-3973,https://cammack.house.gov/,,"1626 Longworth House Office Building Washington, DC  20515",C001039,,,@RepKatCammack,,RepKatCammack,02/16/88
N00051369,Aaron Bean,Bean,FL04,M,2022,,,,,,,,,,,,
N00039777,John Rutherford,Rutherford,FL05,M,2016,202-225-2501,,https://rutherford.house.gov,,230 Cannon House Office Building,R000609,,,RepRutherfordFL,,RepRutherfordFL,1952-09-02
N00042403,Michael Waltz,Waltz,FL06,M,2018,202-225-2706,,https://waltz.house.gov/,,216 Cannon House Office Building,W000823,,,,,,1974-01-31
N00048179,Cory Mills,Mills,FL07,M,2022,,,,,,,,,,,,
N00029662,Bill Posey,Posey,FL08,M,2008,202-225-3671,202-225-3516,http://posey.house.gov,https://posey.house.gov/forms/writeyourrep/,2150 Rayburn House Office Building,P000599,24280,H8FL15107,CongBillPosey,https://youtube.com/CongressmanPosey,bill.posey15,1947-12-18
N00037422,Darren Soto,Soto,FL09,M,2016,202-225-9889,,https://soto.house.gov,,1429 Longworth House Office Building,S001200,,,RepDarrenSoto,,CongressmanDarrenSoto,1978-02-25
N00049075,Maxwell Frost,Frost,FL10,M,2022,,,,,,,,,,,,
N00026335,Daniel Webster,Webster,FL11,M,2010,202-225-1002,202-225-0999,http://webster.house.gov,https://webster.house.gov/contact/contactform.htm,1210 Longworth House Office Building,W000806,24302,H0FL08208,RepWebster,https://youtube.com/repdanwebster,RepWebster,1949-04-27
N00027462,Gus Bilirakis,Bilirakis,FL12,M,2006,202-225-5755,202-225-4085,https://bilirakis.house.gov,https://bilirakis.house.gov/email-congressman-bilirakis/,2112 Rayburn House Office Building,B001257,17318,H6FL09070,RepGusBilirakis,https://youtube.com/RepGusBilirakis,GusBilirakis,1963-02-08
N00045228,Anna Paulina Luna,Luna,FL13,F,2022,,,,,,,,,,,,
N00027514,Kathy Castor,Castor,FL14,F,2006,202-225-3376,202-225-5652,http://castor.house.gov,https://castor.house.gov/contact/contactform.htm,2052 Rayburn House Office Building,C001066,53825,H6FL11126,USRepKCastor,https://youtube.com/RepKathyCastor,USRepKathyCastor,1966-08-20
N00051178,Laurel Lee,Lee,FL15,F,2022,,,,,,,,,,,,
N00027626,Vernon Buchanan,Buchanan,FL16,M,2006,202-225-5015,202-226-0828,https://buchanan.house.gov,https://buchanan.house.gov/email-me,2104 Rayburn House Office Building,B001260,66247,H6FL13148,VernBuchanan,https://youtube.com/vernbuchanan,CongressmanBuchanan,1951-05-08
N00042808,Greg Steube,Steube,FL17,M,2018,202-225-5792,,https://steube.house.gov/,,521 Cannon House Office Building,S001214,,,,,,1978-05-19
N00046760,Scott Franklin,Franklin,FL18,M,2020,202225-1252,202226-0585,https://franklin.house.gov/,,"1517 Longworth House Office Building, Washington, DC 20515",F000472,,,@RepFranklin,,RepFranklin,08/23/64
N00034016,Byron Donalds,Donalds,FL19,M,2020,202225-2536,,https://donalds.house.gov/,,"523 Cannon HOB Washington, DC 20515",D000032,,,@RepDonaldsPress,,RepDonaldsPress,10/28/78
N00043504,Sheila Cherfilus-McCormick,Cherfilus-McCormick,FL20,F,2022,,,,,,,,,,,,
N00037269,Brian Mast,Mast,FL21,M,2016,202-225-3026,,https://mast.house.gov,,2182 Rayburn House Office Building,M001199,,,repbrianmast,,repbrianmast,1980-07-10
N00002893,Lois Frankel,Frankel,FL22,F,2012,202-225-9890,561-998-9048,http://frankel.house.gov,https://frankel.house.gov/contact/email-me,1037 Longworth House Office Building,F000462,8102,H2FL14053,RepLoisFrankel,https://youtube.com/reploisfrankel,RepLoisFrankel,1948-05-16
