,CAND_NAME,CAND_OFFICE_ST,TTL_DISB
192,"GRANT, ANDREW",CA,7945.34
193,"BUBSER, CHRISTINE",CA,14783.63
194,"GOMEZ, BLANCA",CA,1743.02
195,"GARAMENDI, JOHN",CA,1103531.85
196,"JOHNSON, DEMNLUS III",CA,29590.73
197,"SUDDUTH, CHERYL",CA,35618.76
198,"RUTSCH, EDWIN",CA,9075.0
199,"STAAT, JEREMY",CA,125.0
200,"RECILE, RUDY",CA,60154.65
201,"COOK, PAUL",CA,3118.66
202,"CHIMA, HARPREET SINGH",CA,80940.93
203,"FENG, KARENA",CA,6381714.98
204,"MCNERNEY, JERRY",CA,696267.17
205,"HARDER, JOSH",CA,8715083.6
206,"PATTI, THOMAS",CA,1576834.54
207,"MADISON, JONATHAN",CA,72638.76
208,"SHOEMAKER, JAMES H",CA,26871.26
209,"DESAULNIER, MARK",CA,524180.45
210,"DENHAM, JEFF",CA,78162.73
211,"GILL, RANJIT",CA,213525.0
212,"HOWZE, TED D II",CA,15904.39
213,"KERR, MICHAEL ERNEST",CA,6620.58
214,"PHILLIPS, JEFFREY ALAN",CA,4979.03
215,"PELOSI, NANCY",CA,27787734.22
216,"BUTTAR, SHAHID",CA,200990.85
217,"SHARMA, NISHA",CA,1229.94
218,"DENNIS, JOHN MR.",CA,935475.09
219,"KERR, MICHAEL ERNEST",CA,6620.58
220,"CURRY, ERIC",CA,5177.0
221,"LEE, BARBARA",CA,2269457.32
222,"LORRAINE, DEANNA",CA,1503.04
223,"SLAUSON, STEPHEN SCOTT",CA,1050.0
224,"ARBALLO, PHIL",CA,1637184.73
225,"GRAY, ADAM C.",CA,2259284.48
226,"MARTINEZ, DIEGO J",CA,2114.3
227,"GIGLIO, DAVID ANTHONY",CA,737065.43
228,"DUARTE, JOHN",CA,2508119.84
229,"GOODROW, CRISTOS JON",CA,295.06
230,"WATTERS, ANDREW G.",CA,0.0
231,"SWALWELL, ERIC MICHAEL",CA,3659003.02
232,"SPEIER, JACKIE",CA,409825.44
233,"WONG, THOMAS",CA,16598.76
234,"IYER, STEVE",CA,2274.46
235,"SINGH, MAJOR",CA,13708.23
236,"MULLIN, KEVIN",CA,1140955.83
237,"CANEPA, DAVID",CA,815318.46
238,"BEACH, EMILY",CA,580608.95
239,"MATTAMMAL, GUS",CA,36337.71
240,"COTA, JACKIE S",CA,1835.23
241,"SIMITIAN, S. JOSEPH",CA,7974.45
242,"SORIA, ESMERALDA",CA,5075.31
243,"KUMAR, RISHI",CA,803802.21
244,"TANAKA, GREG",CA,148222.46
245,"RADING, AJWANG",CA,229136.68
246,"ESHOO, ANNA G.",CA,1982985.73
247,"TACHERRA, JOHNNY",CA,0.0
248,"BROWN, NATHAN K",CA,135995.0
249,"SOLOMON, BENJAMIN THOMAS MR",CA,9292.57
250,"FOX, RICHARD DR.",CA,15140.0
251,"OHTAKI, PETER",CA,58334.65
252,"HONDA, MIKE",CA,0.0
253,"KHANNA, ROHIT",CA,2795086.16
254,"TANDON, RITESH",CA,116697.57
255,"ACEVEDO-ARREGUIN, LUIS",CA,16334.18
256,"LOFGREN, ZOE",CA,2721976.85
257,"HERNANDEZ, PETER",CA,248690.33
258,"PANETTA, JIMMY",CA,1539796.63
259,"GORMAN, JEFF",CA,58955.07
260,"CRUZ-LARA, IGNACIO ISRAEL",CA,0.0
261,"EPPERSON, DALILA",CA,27851.59
262,"AGUILERA, JUSTIN",CA,1430.52
263,"DEWELL, BEN",CA,1234.6
264,"WOOD, MARISA",CA,1027794.36
265,"MCCARTHY, KEVIN",CA,24677106.59
266,"PARRA, NICOLE",CA,148757.59
267,"LARA, ANGEL",CA,59226.24
268,"COSTA, JIM",CA,2055957.67
269,"MATHYS, CHRIS",CA,384161.64
270,"FLORES-GIBSON, MARTHA ELENA DR",CA,0.0
271,"MEDEIROS, ADAM THOMAS MR",CA,203170.52
272,"MAHER, MICHAEL A",CA,308804.11
273,"STOLL, MATTHEW",CA,358479.46
274,"GARCIA, ERIC",CA,219071.35
275,"OSORIO, BRYAN",CA,162614.24
276,"SALAS, RUDY",CA,2938879.9
277,"HUBBARD, LOURIN",CA,82382.27
278,"VALADAO, DAVID",CA,3808729.26
279,"BORGEAS, ANDREAS A",CA,43605.0
280,"HENG, ELIZABETH",CA,199304.36
281,"CONWAY, CONNIE",CA,151822.56
282,"NUNES, DEVIN G.",CA,3944892.84
283,"MANGONE, KIM",CA,6896.4
284,"MARSHALL, DEREK",CA,934526.65
285,"AMATO, BRUNO",CA,483799.73
286,"GILL, LOUIS",CA,131096.73
287,"WILSON, KURTIS",CA,0.0
288,"OBERNOLTE, JAY",CA,719332.84
289,"CARBAJAL, SALUD O.",CA,1414453.7
290,"CALDWELL, JAMES ANDREW",CA,39759.94
291,"ALLEN, BRAD DR.",CA,28320.77
292,"FAREED, JUSTIN",CA,0.0
293,"GALLEGLY, ELTON",CA,58155.24
294,"TENENBAUM, MICHAEL",CA,0.0
295,"WOODY, MICHAEL ERIN",CA,524.8
296,"WESLANDER QUAID, MICHELE",CA,113387.77
297,"NAZANIN, RHODA",CA,88482.41
298,"LUEVANOS, RUTH",CA,50584.3
299,"HILL, STEVE",CA,2016.16
300,"RUIZ, RAUL DR.",CA,2928711.62
301,"VALLADARES, SUZETTE MARTINEZ",CA,7666.54
302,"UNDERWOOD JACOBS, ANGELA",CA,48638.98
303,"LOZANO, DAVID",CA,0.0
304,"HAWKINS, BRIAN",CA,534014.37
305,"MCKEON, HOWARD P ""BUCK""",CA,13717.82
306,"TYSON, BRIAN",CA,244393.87
307,"THAKUR, ALBERT 'BURT'",CA,71605.51
308,"STRICKLAND, ANTHONY A",CA,0.0
309,"REISS, JONATHAN",CA,8123.72
310,"TRUMAN, CECILIA",CA,9287.94
311,"BROWNLEY, JULIA",CA,5162111.7
312,"JACOBS, MATTHEW",CA,2543130.26
313,"MIKHAIL, FADDE",CA,16992.0
314,"GOODMAN, DAVID",CA,27741.11
315,"SMITH, CHRISTY",CA,3982885.63
316,"QUARTEY, JOHN QUAYE II",CA,1206595.55
317,"WITT, BRYAN",CA,100.0
318,"GARCIA, MICHAEL",CA,7385659.69
319,"CHU, JUDY",CA,991537.1
320,"EARLY, ERIC",CA,300993.33
321,"HALLMAN, WESLEY PHILLIP",CA,104722.18
322,"NALBANDIAN, JOHNNY",CA,31424.89
323,"BARBOSA, JENNIFER",CA,1246.59
324,"DEPAOLIS, GIULIANO GIOVANNI",CA,5648.63
325,"PORTANTINO, ANTHONY",CA,1000.0
326,"CARDENAS, TONY",CA,1802224.02
327,"DUENAS, ANGELICA MARIA",CA,134506.57
328,"HERNANDEZ, DAVID RAYMOND",CA,0.0
329,"CARRANZA, MARGARITA MARIA MMC MMC",CA,7830.2
330,"SCHIFF, ADAM",CA,17782589.07
331,"PUDLO, G MAEBE A. GIRL",CA,30351.4
332,"KENNEDY, RONDA",CA,61607.73
333,"NALBANDIAN, JOHNNY",CA,31424.89
334,"GIPSON, PATRICK LEE",CA,24682.68
335,"KLEINMAN, PABLO",CA,0.0
336,"MEURER, WILLIAM",CA,34923.95
337,"REYES, ELOISE GOMEZ",CA,0.0
338,"NAPOLITANO, GRACE",CA,231815.63
339,"GIBBONEY, AGNES",CA,10779.54
340,"COVELL, CAROLYN ELIZABETH MRS",CA,13055.0
341,"GUTIERREZ, REX DALE ALEXANDER",CA,13550.0
342,"FLYNN, SEAN",CA,0.0
343,"MILLER, GARY G",CA,141445.82
344,"SOLIS, HILDA",CA,30139.24
345,"GONZALES, EMANUEL LAWRENCE MR",CA,0.0
346,"KASHIFALGHITA, MESHAL 'KASH'",CA,1060.0
347,"RHODES, AARIKA SAMONE",CA,369642.3
348,"AAZAMI, SHERVIN",CA,298818.52
349,"POTELL, JASON RANDOLPH",CA,63583.82
350,"RAB, AEJAZ (RAJI)",CA,5453.5
351,"SHERMAN, BRAD",CA,2266123.26
352,"HERNANDEZ, ROGER",CA,214.21
353,"TOOMIM, LEAH MELISSA",CA,32217.43
354,"VOLOTZKY, LUCIE LAPOINTE",CA,51615.73
355,"SCOTT, JOSHUA",CA,10155.34
356,"AGUILAR, PETE",CA,3438869.52
357,"MILLER, MATTHEW LOUIS",CA,2181.0
358,"WAXMAN, HENRY A",CA,24720.19
359,"LIEW, SARAH SUN DR.",CA,137983.4
360,"BRADLEY, JAMES P.",CA,0.0
361,"PORTER, JOHN MARK MR",CA,67.17
362,"CARR, ELAN S.",CA,0.0
363,"KIM, DAVID",CA,792.04
364,"BECERRA, XAVIER",CA,44637.16
365,"KIM, DAVID YUNG HO",CA,250999.42
366,"CARMONA, ARTURO",CA,803.4
367,"HERNANDEZ, SARA",CA,0.0
368,"CABILDO, MARIA",CA,0.0
369,"AHN, ROBERT LEE",CA,0.0
370,"GOMEZ, JIMMY",CA,1652332.32
371,"MEJIA, KENNETH",CA,649.96
372,"STEVENS, LLOYD ALEXANDER",CA,13971.79
373,"TORRES, NORMA",CA,620568.93
374,"CARGILE, MIKE",CA,65802.87
375,"CARACAMO, RAFAEL DR.",CA,54278.05
376,"LIEU, TED",CA,2600682.5
377,"CRUZ, ERIN",CA,2277.29
378,"COLLINS, JOE E III",CA,3128627.06
379,"GATES, DERRICK ROLLIN",CA,11016.0
380,"RAGGE, CLAIRE",CA,28527.69
381,"JENKINS, STORM",CA,7475.0
382,"HAKAMI, ARIANA",CA,5312.68
383,"BASS, KAREN",CA,958796.43
384,"LEE, DANIEL",CA,56793.92
385,"KAMLAGER, SYDNEY",CA,1106107.22
386,"PERRY, JAN",CA,709149.38
387,"MENDOZA, SANDRA",CA,11047.9
388,"SHURE, MICHAEL MR.",CA,240845.85
389,"WEBBER, ERROL MR.",CA,31181.16
390,"MOREIRA, ELIZABETH",CA,10424.13
391,"ANI, SYLVESTER UGONNA JR.",CA,22050.36
392,"SANCHEZ, LINDA",CA,1834767.27
393,"CLEMMONS, MITCHELL",CA,0.0
394,"CHING, ERIC J",CA,275725.66
395,"TAKANO, MARK",CA,871059.64
396,"CISNEROS, GILBERT",CA,105061.88
397,"LEE, HERBERT",CA,2810.0
398,"MINNELLA, JOHN LORDSAL",CA,5221.34
399,"PETERSON, ARTHUR LAVERNE DR",CA,2683.87
400,"SPINNEY, BILL",CA,127780.44
401,"CULLUM, JOHN J",CA,0.0
402,"FELIX, ANTHONY DR. JR.",CA,21371.69
403,"ROYBAL-ALLARD, LUCILLE",CA,180225.16
404,"MAHMOOD, ASIF DR.",CA,3652146.02
405,"DELGADO, ANTONIO",CA,8065.47
406,"RATHS, GREG",CA,226602.86
407,"TAURUS, NICHOLAS",CA,4882.54
408,"KIM, YOUNG",CA,9210118.45
409,"CORTES BARRAGAN, RODOLFO",CA,1.68
410,"MOSELY, BRANDON",CA,200777.77
411,"KURANI, SHRINA",CA,548956.4
412,"ROLLINS, WILL",CA,3595087.62
413,"CALVERT, KEN",CA,3922112.33
414,"SHEPHERD, DOUG",CA,0.0
415,"SMITH, AJA",CA,150021.04
416,"O'MARA, WILLIAM EDWARD DR IV",CA,14864.01
417,"MATHEWS, PETER",CA,5764.34
418,"GARCIA, CRISTINA",CA,417782.88
419,"SUMMERVILLE, WILLIAM M.",CA,36322.96
420,"BELTRAN, JOAQUIN",CA,33885.62
421,"GARCIA, ROBERT",CA,1335074.92
422,"BRISCOE, JOHN",CA,295812.02
423,"WATERS, MAXINE",CA,1343379.94
424,"NAVARRO, OMAR",CA,88751.81
425,"HALL, ISADORE III",CA,833.14
426,"BARRAGAN, NANETTE",CA,742780.4
427,"CHEN, JAY",CA,5074347.48
428,"VARASTEH, RON",CA,109.99
429,"FORDE, BRIAN",CA,700.2
430,"STEEL, MICHELLE",CA,7033383.42
431,"DALE, TERRY",CA,600.0
432,"COLLINS, SHAWN",CA,516145.52
433,"RATHS, GREGORY GERARD",CA,4267.47
434,"ORTEGA, MICHAEL",CA,63332.39
435,"CORREA, LOU",CA,918746.97
436,"GONZALES, CHRISTOPHER",CA,35989.61
437,"WATERS, JAMES STEVENS",CA,5868.92
438,"LOWENTHAL, ALAN",CA,393467.04
439,"MATHEWS, E. PETER",CA,5764.34
440,"PORTER, KATHERINE",CA,28295576.03
441,"MOUA, SOU",CA,274.0
442,"WEST, AMY PHAN",CA,20464.36
443,"BURLEY, BRIAN J MR.",CA,357033.0
444,"PHAN WEST, AMY",CA,193710.63
445,"LYONS, MICHELLE",CA,12176.7
446,"BAUGH, SCOTT",CA,3071511.28
447,"WEBBER, ERROL",CA,31181.16
448,"WHALLON, ANDREW",CA,0.0
449,"CLIFFORD, DAVID",CA,0.0
450,"HOULAHAN, STEPHEN WILLIAM",CA,61172.22
451,"SAVARY, SUZANNE JOYCE",CA,275.0
452,"ROUDA, HARLEY E JR",CA,1284698.66
453,"OATMAN, LAURA",CA,600.0
454,"KOTICK, MICHAEL",CA,650.0
455,"ISSA, DARRELL",CA,2012187.17
456,"COX, CHRISTOPHER HON.",CA,1540.0
457,"ROHRABACHER, DANA",CA,1681.72
458,"LEVIN, MIKE",CA,6196367.57
459,"RODRIGUEZ, CHRISTOPHER",CA,1240172.28
460,"ELIZABETH, ANNE",CA,9875.5
461,"BARTLETT, LISA",CA,566407.93
462,"ONEIL, JOSIAH",CA,156877.11
463,"TAYLOR, RENEE",CA,4772.0
464,"GASPAR, KRISTIN",CA,20.13
465,"MARYOTT, BRIAN L MR",CA,5560850.06
466,"SCHMITT, MICHAEL D",CA,94.41
467,"BILASH, TIMOTHY DANIEL DR. M.D.",CA,2683.12
468,"ROCHA, JOSEPH C.",CA,467855.92
469,"TAITANO, KYLIE",CA,148644.96
470,"PETERS, SCOTT",CA,2178802.68
471,"MALLOY, JEFFREY",CA,0.0
472,"CAMPA-NAJJAR, AMMAR",CA,11584.59
473,"ABED, SAM",CA,10400.23
474,"GUSTAFSON, COREY",CA,94112.24
475,"CHIDDICK, DAVID",CA,0.0
476,"WELLS, WILLIAM DANIEL",CA,8582.36
477,"JONES, BRIAN W",CA,0.0
478,"HUNTER, DUNCAN D",CA,5200.0
479,"SCHINDLER, ADAM DR.",CA,49997.42
480,"HOLMAN LEAK, BARRETT",CA,2684.55
481,"JACOBS, SARA",CA,1677577.47
482,"CAPLAN, STAN",CA,135385.49
483,"HIDALGO, JUAN M SGTMAJ JR",CA,0.0
484,"CORTES, JOSE MARCOS",CA,6746.33
485,"VARGAS, JUAN C.",CA,793081.82
486,"VAZQUEZ, JOAQUIN",CA,6070.94
487,"DEBELLO, JAMES",CA,15147.28
488,"BAILEY, RICHARD",CA,402271.98
489,"GEFFENEY, TYLER",CA,25666.62
490,"DAVIS, SUSAN A.",CA,53365.18
491,"GOMEZ, GEORGETTE",CA,26344.19
492,"KUTNER, ERIC ROGER",CA,29.16
493,"WELLS, BILL D.",CA,18074.44
494,"DURAN, CRISANTA DESIRAE",CO,2339.0
495,"WALIA, NEAL",CO,193177.69
496,"DEGETTE, DIANA L",CO,1027803.67
497,"BOLLING, SHANE",CO,30.0
498,"WATERS, DOM",CO,3907.25
499,"NEGUSE, JOSEPH",CO,1337156.99
500,"LARSEN, KRISTOPHER WILLIAM DR.",CO,0.0
501,"DAWSON, MARSHALL",CO,34698.33
502,"YURASH, STEPHEN ANDREW",CO,41312.49
503,"VALDEZ, DONALD",CO,336777.27
504,"WILHELM, COLIN",CO,275892.91
505,"SMITH, GREGG HARRISON",CO,61203.99
506,"DONOVAN, KERRY",CO,1583535.05
507,"SANDOVAL TAFOYA, SOLEDAD",CO,977522.63
508,"BURNETT, DEBORA LYNN",CO,250673.8
509,"RHODES, KELLIE",CO,14084.25
510,"BUERGER, COLIN",CO,86190.95
511,"YATES, SCOTT",CO,85240.96
512,"FRISCH, ADAM",CO,6155634.45
513,"BUSH, DIANE MITSCH MS.",CO,29352.97
514,"ROUTLEDGE, ROOT",CO,935.16
515,"BOEBERT, LAUREN",CO,7157209.74
516,"ZIMMERMAN, MARINA",CO,42385.03
517,"CORAM, DON",CO,210001.2
518,"TIPTON, SCOTT R.",CO,27678.16
519,"SKOWRONSKI, KRISTIN ELISE",CO,4953.78
520,"MCCORKLE, ISAAC IAN",CO,267803.82
521,"GARDNER, CORY",CO,79357.32
522,"LEWIS, BOB",CO,42710.0
523,"BUCK, KENNETH R",CO,1276334.63
524,"GOENAGA-TORRES, SANTIAGO DAVID",CO,21776.83
525,"DOWELL, JEREMY J",CO,2268.29
526,"COLOMBE, MICHAEL CHRISTOPHER MR",CO,7079.8
527,"SPAULDING, STEPHANY ROSE",CO,606.0
528,"KELTIE, REBECCA",CO,8994.23
529,"WILLIAMS, DAVID",CO,216456.61
530,"HEATON, ANDREW DAVID",CO,13921.09
531,"LAMBORN, DOUGLAS",CO,729903.02
532,"MITCHELL, CHRISTOPHER",CO,165.0
533,"MURPHY, MARCUS",CO,645.91
534,"HANEY, PERRY",CO,0.0
535,"CROW, JASON",CO,2376329.75
536,"KULIKOWSKI, JAIMIE",CO,0.0
537,"HOUSE, STEVEN",CO,1468.37
538,"SMITH, BRIAN",CO,0.0
539,"MONAHAN, STEVEN EDWARD",CO,258207.39
540,"ARMSTRONG, WILLIAM L III",CO,0.0
541,"MULDER, ERIC",CO,5257.41
542,"FAUST, KYLE ALEXANDER",CO,372.0
543,"PERLMUTTER, EDWIN G",CO,1113621.89
544,"PETTERSEN, BRITTANY LOUISE MS.",CO,2865701.44
545,"MORENO, DOMINICK",CO,2600.0
546,"STOCKHAM, CASPER WESLEY",CO,0.0
547,"IMER, LAUREL ANNE",CO,88399.74
548,"AADLAND, ERIK",CO,1472390.01
549,"ANDERSEN, CARL E",CO,264851.05
550,"REICHERT, TIM",CO,1585826.05
551,"DEMPSEY, BRAD",CO,263796.72
552,"CARAVEO, YADIRA",CO,3502839.96
553,"TEDESCO, CHAZ",CO,232519.95
554,"HUMPHREY, JOHNNY",CO,14471.92
555,"DOUGLAS, STEVE DOUGLAS",CO,5554.88
556,"GRAY, GIULIANNA",CO,56884.77
557,"SAINE, LORI A",CO,371173.1
558,"KIRKMEYER, BARBARA",CO,1554471.64
559,"KULMANN, JANIFER SUZANNE",CO,499430.44
560,"ALLCORN, TYLER",CO,357200.13
561,"LONG, TIMOTHY LOUIS",CO,8401.14
