cid,firstlast,lastname,office,gender,first_elected,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,feccandid,twitter_id,youtube_url,facebook_id,birthdate
N00047972,Julia Letlow,Letlow,LA05,F,2021,,,,,,,,,,,,
N00050145,Mike Flood,Flood,NE01,M,2022,,,,,,,,,,,,
N00027695,Pete Ricketts,Ricketts,NES2,M,2023,,,,,,,,,,,,
N00019149,Tom Kean,Kean,NJ07,M,2022,,,,,,,,,,,,
N00049686,Rob Menendez,Menendez,NJ08,M,2022,,,,,,,,,,,,
N00047871,Melanie Stansbury,Stansbury,NM01,F,2021,,,,,,,,,,,,
N00049142,Gabe Vasquez,Vasquez,NM02,M,2022,,,,,,,,,,,,
N00050419,Nick LaLota,LaLota,NY01,M,2022,,,,,,,,,,,,
N00046427,George Santos,Santos,NY03,M,2022,,,,,,,,,,,,
N00050681,Anthony D'Esposito,D'Esposito,NY04,M,2022,,,,,,,,,,,,
N00051424,Dan Goldman,Goldman,NY10,M,2022,,,,,,,,,,,,
N00051208,Mike Lawler,Lawler,NY17,M,2022,,,,,,,,,,,,
N00041165,Pat Ryan,Ryan,NY18,M,2022,,,,,,,,,,,,
N00049147,Marc Molinaro,Molinaro,NY19,M,2022,,,,,,,,,,,,
N00050433,Brandon Williams,Williams,NY22,M,2022,,,,,,,,,,,,
N00051431,Nick Langworthy,Langworthy,NY23,M,2022,,,,,,,,,,,,
N00049636,Don Davis,Davis,NC01,M,2022,,,,,,,,,,,,
N00044027,Greg Murphy,Murphy,NC03,M,2019,,,,,,,,,,,,
N00049652,Valerie Foushee,Foushee,NC04,F,2022,,,,,,,,,,,,
N00044335,Dan Bishop,Bishop,NC08,M,2019,,,,,,,,,,,,
N00049670,Chuck Edwards,Edwards,NC11,M,2022,,,,,,,,,,,,
N00049133,Wiley Nickel,Nickel,NC13,M,2022,,,,,,,,,,,,
N00050407,Jeff Jackson,Jackson,NC14,M,2022,,,,,,,,,,,,
N00049718,Greg Landsman,Landsman,OH01,M,2022,,,,,,,,,,,,
N00048277,Max Miller,Miller,OH07,M,2022,,,,,,,,,,,,
N00047875,Shontel Brown,Brown,OH11,F,2021,,,,,,,,,,,,
N00050165,Emilia Sykes,Sykes,OH13,F,2022,,,,,,,,,,,,
N00048568,Mike Carey,Carey,OH15,M,2021,,,,,,,,,,,,
N00048832,J D Vance,Vance,OHS2,M,2022,,,,,,,,,,,,
N00051106,Josh Brecheen,Brecheen,OK02,M,2022,,,,,,,,,,,,
N00049734,Val Hoyle,Hoyle,OR04,F,2022,,,,,,,,,,,,
N00048900,Lori Chavez-Deremer,Chavez-Deremer,OR05,F,2022,,,,,,,,,,,,
N00049738,Andrea Salinas,Salinas,OR06,F,2022,,,,,,,,,,,,
N00033749,Glenn Ivey,Ivey,MD04,M,2022,,,,,,,,,,,,
N00001799,Kweisi Mfume,Mfume,MD07,M,2020,,,,,,,,,,,,
N00044885,Hillary Scholten,Scholten,MI03,F,2022,,,,,,,,,,,,
N00041550,John James,James,MI10,M,2022,,,,,,,,,,,,
N00049602,Shri Thanedar,Thanedar,MI13,M,2022,,,,,,,,,,,,
N00050649,Brad Finstad,Finstad,MN01,M,2022,,,,,,,,,,,,
N00048240,Mike Ezell,Ezell,MS04,M,2022,,,,,,,,,,,,
N00049617,Mark Alford,Alford,MO04,M,2022,,,,,,,,,,,,
N00049123,Eric Burlison,Burlison,MO07,M,2022,,,,,,,,,,,,
N00048414,Eric Schmitt,Schmitt,MOS1,M,2022,,,,,,,,,,,,
N00049757,Summer Lee,Lee,PA12,F,2022,,,,,,,,,,,,
N00049160,Christopher Deluzio,Deluzio,PA17,M,2022,,,,,,,,,,,,
N00038201,John Fetterman,Fetterman,PAS1,M,2022,,,,,,,,,,,,
N00050458,Seth Magaziner,Magaziner,RI02,M,2022,,,,,,,,,,,,
N00049165,Russell Fry,Fry,SC07,M,2022,,,,,,,,,,,,
N00050943,Andy Ogles,Ogles,TN05,M,2022,,,,,,,,,,,,
N00049775,Nathaniel Moran,Moran,TX01,M,2022,,,,,,,,,,,,
N00049337,Keith Self,Self,TX03,M,2022,,,,,,,,,,,,
N00042243,Jake Ellzey,Ellzey,TX06,M,2021,,,,,,,,,,,,
N00048776,Morgan Luttrell,Luttrell,TX08,M,2022,,,,,,,,,,,,
N00045793,Monica De La Cruz,De La Cruz,TX15,F,2022,,,,,,,,,,,,
N00049840,Jasmine Crockett,Crockett,TX30,F,2022,,,,,,,,,,,,
N00049855,Greg Casar,Casar,TX35,M,2022,,,,,,,,,,,,
N00044362,Wesley Hunt,Hunt,TX38,M,2022,,,,,,,,,,,,
N00049900,Becca Balint,Balint,VT01,F,2022,,,,,,,,,,,,
N00048315,Jen Kiggans,Kiggans,VA02,F,2022,,,,,,,,,,,,
N00050490,Marie Gluesenkamp Perez,Perez,WA03,F,2022,,,,,,,,,,,,
N00046843,Derrick Van Orden,Van Orden,WI03,M,2022,,,,,,,,,,,,
N00045307,Tom Tiffany,Tiffany,WI07,M,2020,,,,,,,,,,,,
N00049197,Harriet Hageman,Hageman,WY01,F,2022,,,,,,,,,,,,
