"Recipient","Total","From Individuals","From Organization","Recipient Type","View","Type","Chamber"
"Peters Sam","$2500","$0","$2500","Candidate (R-NV04)","Republican","Cand","House"
"Johnson Bill","$2000","$0","$2000","Candidate (R-OH06)","Republican","Cand","House"
"Rouzer David","$2000","$0","$2000","Candidate (R-NC07)","Republican","Cand","House"
"Mooney Alex","$2000","$0","$2000","Candidate (R-WV02)","Republican","Cand","House"
"Stefanik Elise","$2000","$0","$2000","Candidate (R-NY21)","Republican","Cand","House"
"Westerman Bruce","$2000","$0","$2000","Candidate (R-AR04)","Republican","Cand","House"
"Pence Greg","$2000","$0","$2000","Candidate (R-IN06)","Republican","Cand","House"
"Armstrong Kelly","$2000","$0","$2000","Candidate (R-ND01)","Republican","Cand","House"
"Feenstra Randy","$2000","$0","$2000","Candidate (R-IA04)","Republican","Cand","House"
"Laturner Jake","$2000","$0","$2000","Candidate (R-KS02)","Republican","Cand","House"
"Bishop Dan","$2000","$0","$2000","Candidate (R-NC09)","Republican","Cand","House"
"Fischbach Michelle","$2000","$0","$2000","Candidate (R-MN07)","Republican","Cand","House"
"McClain Lisa","$2000","$0","$2000","Candidate (R-MI10)","Republican","Cand","House"
"Franklin Scott","$2000","$0","$2000","Candidate (R-FL15)","Republican","Cand","House"
"Fallon Patrick","$2000","$0","$2000","Candidate (R-TX04)","Republican","Cand","House"
"Babin Brian","$2000","$0","$2000","Candidate (R-TX36)","Republican","Cand","House"
"Foxx Virginia","$2000","$0","$2000","Candidate (R-NC05)","Republican","Cand","House"
"Meuser Dan","$2000","$0","$2000","Candidate (R-PA09)","Republican","Cand","House"
"Huizenga Bill","$2000","$0","$2000","Candidate (R-MI02)","Republican","Cand","House"
"Griffith Morgan","$2000","$0","$2000","Candidate (R-VA09)","Republican","Cand","House"
"Lesko Debbie","$2000","$0","$2000","Candidate (R-AZ08)","Republican","Cand","House"
"Cline Ben","$2000","$0","$2000","Candidate (R-VA06)","Republican","Cand","House"
"Carl Jerry","$2000","$0","$2000","Candidate (R-AL01)","Republican","Cand","House"
"Owens Burgess","$2000","$0","$2000","Candidate (R-UT04)","Republican","Cand","House"
"Nehls Troy","$2000","$0","$2000","Candidate (R-TX22)","Republican","Cand","House"
"Sessions Pete","$2000","$0","$2000","Candidate (R-TX17)","Republican","Cand","House"
"Kustoff David","$2000","$0","$2000","Candidate (R-TN08)","Republican","Cand","House"
"Thompson Glenn","$2000","$0","$2000","Candidate (R-PA15)","Republican","Cand","House"
"Scott Austin","$2000","$0","$2000","Candidate (R-GA08)","Republican","Cand","House"
"Weber Randy","$2000","$0","$2000","Candidate (R-TX14)","Republican","Cand","House"
"Houchin Erin","$2000","$0","$2000","Candidate (R-IN09)","Republican","Cand","House"
"Timmons William","$2000","$0","$2000","Candidate (R-SC04)","Republican","Cand","House"
"McClintock Tom","$2000","$0","$2000","Candidate (R-CA04)","Republican","Cand","House"
"McHenry Patrick","$2000","$0","$2000","Candidate (R-NC10)","Republican","Cand","House"
"Kelly Mike","$2000","$0","$2000","Candidate (R-PA16)","Republican","Cand","House"
"Stewart Chris","$2000","$0","$2000","Candidate (R-UT02)","Republican","Cand","House"
"Perry Scott","$2000","$0","$2000","Candidate (R-PA10)","Republican","Cand","House"
"Rosendale Matt","$2000","$0","$2000","Candidate (R-MT01)","Republican","Cand","House"
"Johnson Mike","$2000","$0","$2000","Candidate (R-LA04)","Republican","Cand","House"
"Biggs Andy","$2000","$0","$2000","Candidate (R-AZ05)","Republican","Cand","House"
"Estes Ron","$2000","$0","$2000","Candidate (R-KS04)","Republican","Cand","House"
"Curtis John","$2000","$0","$2000","Candidate (R-UT03)","Republican","Cand","House"
"Crenshaw Dan","$2000","$0","$2000","Candidate (R-TX02)","Republican","Cand","House"
"Guest Michael","$2000","$0","$2000","Candidate (R-MS03)","Republican","Cand","House"
"Hinson Ashley","$2000","$0","$2000","Candidate (R-IA01)","Republican","Cand","House"
"Pfluger August","$2000","$0","$2000","Candidate (R-TX11)","Republican","Cand","House"
"Good Bob","$2000","$0","$2000","Candidate (R-VA05)","Republican","Cand","House"
"Jackson Ronny","$2000","$0","$2000","Candidate (R-TX13)","Republican","Cand","House"
"Carey Mike","$2000","$0","$2000","Candidate (R-OH15)","Republican","Cand","House"
"Wilson Joe","$2000","$0","$2000","Candidate (R-SC02)","Republican","Cand","House"
"Wenstrup Brad","$2000","$0","$2000","Candidate (R-OH02)","Republican","Cand","House"
"Graves Garret","$2000","$0","$2000","Candidate (R-LA06)","Republican","Cand","House"
"Fitzgerald Scott","$2000","$0","$2000","Candidate (R-WI05)","Republican","Cand","House"
"Letlow Julia","$2000","$0","$2000","Candidate (R-LA05)","Republican","Cand","House"
"Latta Bob","$2000","$0","$2000","Candidate (R-OH05)","Republican","Cand","House"
"Walberg Tim","$2000","$0","$2000","Candidate (R-MI07)","Republican","Cand","House"
"Wittman Rob","$2000","$0","$2000","Candidate (R-VA01)","Republican","Cand","House"
"Mann Tracey","$2000","$0","$2000","Candidate (R-KS01)","Republican","Cand","House"
"Duncan Jeff","$2000","$0","$2000","Candidate (R-SC03)","Republican","Cand","House"
"Bucshon Larry","$2000","$0","$2000","Candidate (R-IN08)","Republican","Cand","House"
"Mace Nancy","$2000","$0","$2000","Candidate (R-SC01)","Republican","Cand","House"
"Moolenaar John","$2000","$0","$2000","Candidate (R-MI04)","Republican","Cand","House"
"Tenney Claudia","$2000","$0","$2000","Candidate (R-NY22)","Republican","Cand","House"
"Arrington Jodey","$2000","$0","$2000","Candidate (R-TX19)","Republican","Cand","House"
"Hern Kevin","$2000","$0","$2000","Candidate (R-OK01)","Republican","Cand","House"
"Cloud Michael","$2000","$0","$2000","Candidate (R-TX27)","Republican","Cand","House"
"Murphy Greg","$2000","$0","$2000","Candidate (R-NC03)","Republican","Cand","House"
"Bentz Cliff","$2000","$0","$2000","Candidate (R-OR02)","Republican","Cand","House"
"Schweikert David","$2000","$0","$2000","Candidate (R-AZ06)","Republican","Cand","House"
"Young Don","$2000","$0","$2000","Candidate (R-AK01)","Republican","Cand","House"
"Burgess Michael","$2000","$0","$2000","Candidate (R-TX26)","Republican","Cand","House"
"Norman Ralph","$2000","$0","$2000","Candidate (R-SC05)","Republican","Cand","House"
"Carter Buddy","$2000","$0","$2000","Candidate (R-GA01)","Republican","Cand","House"
"LaHood Darin","$2000","$0","$2000","Candidate (R-IL18)","Republican","Cand","House"
"Banks Jim","$2000","$0","$2000","Candidate (R-IN03)","Republican","Cand","House"
"Ferguson Drew","$2000","$0","$2000","Candidate (R-GA03)","Republican","Cand","House"
"Bergman John","$2000","$0","$2000","Candidate (R-MI01)","Republican","Cand","House"
"Reschenthaler Guy","$2000","$0","$2000","Candidate (R-PA14)","Republican","Cand","House"
"Baird Jim","$2000","$0","$2000","Candidate (R-IN04)","Republican","Cand","House"
"Gooden Lance","$2000","$0","$2000","Candidate (R-TX05)","Republican","Cand","House"
"Ellzey Jake","$2000","$0","$2000","Candidate (R-TX06)","Republican","Cand","House"
"Moore Blake","$2000","$0","$2000","Candidate (R-UT01)","Republican","Cand","House"
"Lucas Frank D","$2000","$0","$2000","Candidate (R-OK03)","Republican","Cand","House"
"Harris Andy","$2000","$0","$2000","Candidate (R-MD01)","Republican","Cand","House"
"Womack Steve","$2000","$0","$2000","Candidate (R-AR03)","Republican","Cand","House"
"Allen Richard W","$2000","$0","$2000","Candidate (R-GA12)","Republican","Cand","House"
"Loudermilk Barry","$2000","$0","$2000","Candidate (R-GA11)","Republican","Cand","House"
"Zinke Ryan","$2000","$0","$2000","Candidate (R-MT01)","Republican","Cand","House"
"Grothman Glenn S","$2000","$0","$2000","Candidate (R-WI06)","Republican","Cand","House"
"Smucker Lloyd","$2000","$0","$2000","Candidate (R-PA11)","Republican","Cand","House"
"Miller Carol","$2000","$0","$2000","Candidate (R-WV03)","Republican","Cand","House"
"Joyce John","$2000","$0","$2000","Candidate (R-PA13)","Republican","Cand","House"
"Tiffany Tom","$2000","$0","$2000","Candidate (R-WI07)","Republican","Cand","House"
"Miller Mary","$2000","$0","$2000","Candidate (R-IL15)","Republican","Cand","House"
"Taylor Van","$1300","$300","$1000","Candidate (R-TX03)","Republican","Cand","House"
"Vega Yesli","$1255","$255","$1000","Candidate (R-VA07)","Republican","Cand","House"
"Webster Daniel","$1000","$0","$1000","Candidate (R-FL11)","Republican","Cand","House"
"Smith Adrian","$1000","$0","$1000","Candidate (R-NE03)","Republican","Cand","House"
"Guthrie Brett","$1000","$0","$1000","Candidate (R-KY02)","Republican","Cand","House"
"Palazzo Steven","$1000","$0","$1000","Candidate (R-MS04)","Republican","Cand","House"
"Higgins Clay","$1000","$0","$1000","Candidate (R-LA03)","Republican","Cand","House"
"Stauber Pete","$1000","$0","$1000","Candidate (R-MN08)","Republican","Cand","House"
"Burchett Tim","$1000","$0","$1000","Candidate (R-TN02)","Republican","Cand","House"
"Steil Bryan","$1000","$0","$1000","Candidate (R-WI01)","Republican","Cand","House"
"Strong Dale","$1000","$0","$1000","Candidate (R-AL05)","Republican","Cand","House"
"Miller Max","$1000","$0","$1000","Candidate (R-OH07)","Republican","Cand","House"
"Alford Mark","$1000","$0","$1000","Candidate (R-MO04)","Republican","Cand","House"
"Kiley Kevin","$1000","$0","$1000","Candidate (R-CA03)","Republican","Cand","House"
"Brecheen Josh","$1000","$0","$1000","Candidate (R-OK02)","Republican","Cand","House"
"Miller-Meeks Mariannette","$1000","$0","$1000","Candidate (R-IA02)","Republican","Cand","House"
"Fleischmann Chuck","$1000","$0","$1000","Candidate (R-TN03)","Republican","Cand","House"
"Desjarlais Scott","$1000","$0","$1000","Candidate (R-TN04)","Republican","Cand","House"
"Amodei Mark","$1000","$0","$1000","Candidate (R-NV02)","Republican","Cand","House"
"Barr Andy","$1000","$0","$1000","Candidate (R-KY06)","Republican","Cand","House"
"Beutler Jaime Herrera","$1000","$0","$1000","Candidate (R-WA03)","Republican","Cand","House"
"Waltz Michael","$1000","$0","$1000","Candidate (R-FL06)","Republican","Cand","House"
"Bice Stephanie","$1000","$0","$1000","Candidate (R-OK05)","Republican","Cand","House"
"Obernolte Jay","$1000","$0","$1000","Candidate (R-CA08)","Republican","Cand","House"
"Clyde Andrew","$1000","$0","$1000","Candidate (R-GA09)","Republican","Cand","House"
"Harshbarger Diana","$1000","$0","$1000","Candidate (R-TN01)","Republican","Cand","House"
"Ezell Mike","$1000","$0","$1000","Candidate (R-MS04)","Republican","Cand","House"
"Cooper Kelly","$1000","$0","$1000","Candidate (R-AZ04)","Republican","Cand","House"
"Edwards Chuck","$1000","$0","$1000","Candidate (R-NC11)","Republican","Cand","House"
"Comer James","$1000","$0","$1000","Candidate (R-KY01)","Republican","Cand","House"
"Hollingsworth Trey","$1000","$0","$1000","Candidate (R-IN09)","Republican","Cand","House"
"Luttrell Morgan","$1000","$0","$1000","Candidate (R-TX08)","Republican","Cand","House"
"Pekau Keith","$1000","$0","$1000","Candidate (R-IL06)","Republican","Cand","House"
"Finstad Brad","$1000","$0","$1000","Candidate (R-MN01)","Republican","Cand","House"
"Calvert Ken","$1000","$0","$1000","Candidate (R-CA42)","Republican","Cand","House"
"Palin Sarah","$1000","$0","$1000","Candidate (R-AK01)","Republican","Cand","House"
"Crawford Rick","$1000","$0","$1000","Candidate (R-AR01)","Republican","Cand","House"
"Hagedorn Jim","$1000","$0","$1000","Candidate (R-MN01)","Republican","Cand","House"
"Smith Jason","$1000","$0","$1000","Candidate (R-MO08)","Republican","Cand","House"
"Palmer Gary","$1000","$0","$1000","Candidate (R-AL06)","Republican","Cand","House"
"Van Drew Jeff","$1000","$0","$1000","Candidate (R-NJ02)","Republican","Cand","House"
"Hunt Wesley","$1000","$0","$1000","Candidate (R-TX38)","Republican","Cand","House"
"McCormick Richard","$1000","$0","$1000","Candidate (R-GA06)","Republican","Cand","House"
"Boebert Lauren","$1000","$0","$1000","Candidate (R-CO03)","Republican","Cand","House"
"Kistner Tyler","$1000","$0","$1000","Candidate (R-MN02)","Republican","Cand","House"
"Spartz Victoria","$1000","$0","$1000","Candidate (R-IN05)","Republican","Cand","House"
"Kent Joe","$1000","$0","$1000","Candidate (R-WA03)","Republican","Cand","House"
"Gibbs John","$1000","$0","$1000","Candidate (R-MI03)","Republican","Cand","House"
"Ogles Andy","$1000","$0","$1000","Candidate (R-TN05)","Republican","Cand","House"
"Lee Laurel","$1000","$0","$1000","Candidate (R-FL15)","Republican","Cand","House"
"Langworthy Nick","$1000","$0","$1000","Candidate (R-NY23)","Republican","Cand","House"
"Simpson Mike","$1000","$0","$1000","Candidate (R-ID02)","Republican","Cand","House"
"Rodgers Cathy McMorris","$1000","$0","$1000","Candidate (R-WA05)","Republican","Cand","House"
"Bilirakis Gus","$1000","$0","$1000","Candidate (R-FL12)","Republican","Cand","House"
"Lamborn Doug","$1000","$0","$1000","Candidate (R-CO05)","Republican","Cand","House"
"Luetkemeyer Blaine","$1000","$0","$1000","Candidate (R-MO03)","Republican","Cand","House"
"Wagner Ann","$1000","$0","$1000","Candidate (R-MO02)","Republican","Cand","House"
"Rice Tom","$1000","$0","$1000","Candidate (R-SC07)","Republican","Cand","House"
"LaMalfa Doug","$1000","$0","$1000","Candidate (R-CA01)","Republican","Cand","House"
"Bost Mike","$1000","$0","$1000","Candidate (R-IL12)","Republican","Cand","House"
"Fulcher Russ","$1000","$0","$1000","Candidate (R-ID01)","Republican","Cand","House"
"Green Mark","$1000","$0","$1000","Candidate (R-TN07)","Republican","Cand","House"
"Gonzales Tony","$1000","$0","$1000","Candidate (R-TX23)","Republican","Cand","House"
"Mills Cory","$1000","$0","$1000","Candidate (R-FL07)","Republican","Cand","House"
"Crane Eli","$1000","$0","$1000","Candidate (R-AZ02)","Republican","Cand","House"
"Self Keith","$1000","$0","$1000","Candidate (R-TX03)","Republican","Cand","House"
"Posey Bill","$1000","$0","$1000","Candidate (R-FL08)","Republican","Cand","House"
"Buck Ken","$1000","$0","$1000","Candidate (R-CO04)","Republican","Cand","House"
"Kelly Trent","$1000","$0","$1000","Candidate (R-MS01)","Republican","Cand","House"
"Moore Barry","$1000","$0","$1000","Candidate (R-AL02)","Republican","Cand","House"
"Rose John","$1000","$0","$1000","Candidate (R-TN06)","Republican","Cand","House"
"Balderson Troy","$1000","$0","$1000","Candidate (R-OH12)","Republican","Cand","House"
"Parrott Neil","$1000","$0","$1000","Candidate (R-MD06)","Republican","Cand","House"
"Moores Mark","$1000","$0","$1000","Candidate (R-NM01)","Republican","Cand","House"
"Fry Russell","$1000","$0","$1000","Candidate (R-SC07)","Republican","Cand","House"
"Flood Mike","$1000","$0","$1000","Candidate (R-NE01)","Republican","Cand","House"
"Issa Darrell","$1000","$0","$1000","Candidate (R-CA50)","Republican","Cand","House"
"Carter John","$1000","$0","$1000","Candidate (R-TX31)","Republican","Cand","House"
"Donalds Byron","$1000","$0","$1000","Candidate (R-FL19)","Republican","Cand","House"
"Luna Anna Paulina","$1000","$0","$1000","Candidate (R-FL13)","Republican","Cand","House"
"Burlison Eric","$1000","$0","$1000","Candidate (R-MO07)","Republican","Cand","House"
"Moran Nathaniel","$1000","$0","$1000","Candidate (R-TX01)","Republican","Cand","House"
"Reeves Bryce","$1000","$0","$1000","Candidate (R-VA07)","Republican","Cand","House"
"Graves Sam","$1000","$0","$1000","Candidate (R-MO06)","Republican","Cand","House"
"Williams Roger","$1000","$0","$1000","Candidate (R-TX25)","Republican","Cand","House"
"Hill French","$1000","$0","$1000","Candidate (R-AR02)","Republican","Cand","House"
"Rutherford John","$1000","$0","$1000","Candidate (R-FL04)","Republican","Cand","House"
"Johnson Dusty","$1000","$0","$1000","Candidate (R-SD01)","Republican","Cand","House"
"Roy Chip","$1000","$0","$1000","Candidate (R-TX21)","Republican","Cand","House"
"Devolder-Santos George","$1000","$0","$1000","Candidate (R-NY03)","Republican","Cand","House"
"Deering Regan","$1000","$0","$1000","Candidate (R-IL13)","Republican","Cand","House"
"Barnes-Israel Stu","$250","$250","$0","Candidate (R-IN09)","Republican","Cand","House"
