"Recipient","Total","From Individuals","From Organization","Recipient Type","View","Type","Chamber"
"Crow Jason","$2000","$0","$2000","Candidate (D-CO06)","Democrat","Cand","House"
"Kim Andy","$2000","$0","$2000","Candidate (D-NJ03)","Democrat","Cand","House"
"Mucarsel-Powell Debbie","$2000","$0","$2000","Candidate (D-FL26)","Democrat","Cand","House"
"Quigley Mike","$2000","$0","$2000","Candidate (D-IL05)","Democrat","Cand","House"
"Spanberger Abigail","$2000","$0","$2000","Candidate (D-VA07)","Democrat","Cand","House"
"Lieu Ted","$2000","$0","$2000","Candidate (D-CA33)","Democrat","Cand","House"
"Davids Sharice","$2000","$0","$2000","Candidate (D-KS03)","Democrat","Cand","House"
"Escobar Veronica","$2000","$0","$2000","Candidate (D-TX16)","Democrat","Cand","House"
"Wild Susan","$2000","$0","$2000","Candidate (D-PA07)","Democrat","Cand","House"
"DeLauro Rosa","$2000","$0","$2000","Candidate (D-CT03)","Democrat","Cand","House"
"Lee Barbara","$2000","$0","$2000","Candidate (D-CA13)","Democrat","Cand","House"
"Jayapal Pramila","$1607","$607","$1000","Candidate (D-WA07)","Democrat","Cand","House"
"Fernandez Teresa Leger","$1230","$1230","$0","Candidate (D-NM03)","Democrat","Cand","House"
"Gottheimer Josh","$1100","$100","$1000","Candidate (D-NJ05)","Democrat","Cand","House"
"Rouda Harley","$1098","$0","$1098","Candidate (D-CA48)","Democrat","Cand","House"
"Malinowski Tom","$1065","$65","$1000","Candidate (D-NJ07)","Democrat","Cand","House"
"Hayes Jahana","$1035","$35","$1000","Candidate (D-CT05)","Democrat","Cand","House"
"Porter Katie","$1020","$20","$1000","Candidate (D-CA45)","Democrat","Cand","House"
"Davis Wendy","$1020","$20","$1000","Candidate (D-TX21)","Democrat","Cand","House"
"Bourdeaux Carolyn","$1020","$20","$1000","Candidate (D-GA07)","Democrat","Cand","House"
"Hill Katie","$1018","$18","$1000","Candidate (D-CA25)","Democrat","Cand","House"
"Cisneros Gil","$1010","$10","$1000","Candidate (D-CA39)","Democrat","Cand","House"
"Gordon Jacqueline","$1010","$10","$1000","Candidate (D-NY02)","Democrat","Cand","House"
"Sanchez Linda","$1000","$0","$1000","Candidate (D-CA38)","Democrat","Cand","House"
"Diaz-Balart Mario","$1000","$0","$1000","Candidate (R-FL25)","Republican","Cand","House"
"Shalala Donna","$1000","$0","$1000","Candidate (D-FL27)","Democrat","Cand","House"
"Dean Madeleine","$1000","$0","$1000","Candidate (D-PA04)","Democrat","Cand","House"
"Titus Dina","$1000","$0","$1000","Candidate (D-NV01)","Democrat","Cand","House"
"Pocan Mark","$1000","$0","$1000","Candidate (D-WI02)","Democrat","Cand","House"
"Lee Susie","$1000","$0","$1000","Candidate (D-NV03)","Democrat","Cand","House"
"Stevens Haley","$1000","$0","$1000","Candidate (D-MI11)","Democrat","Cand","House"
"Kennedy Joe III","$1000","$0","$1000","Candidate (D-MA04)","Democrat","Cand","House"
"Levin Mike","$1000","$0","$1000","Candidate (D-CA49)","Democrat","Cand","House"
"Lofgren Zoe","$1000","$0","$1000","Candidate (D-CA19)","Democrat","Cand","House"
"Kirkpatrick Ann","$1000","$0","$1000","Candidate (D-AZ02)","Democrat","Cand","House"
"Horsford Steven","$1000","$0","$1000","Candidate (D-NV04)","Democrat","Cand","House"
"Beatty Joyce","$1000","$0","$1000","Candidate (D-OH03)","Democrat","Cand","House"
"Houlahan Chrissy","$1000","$0","$1000","Candidate (D-PA06)","Democrat","Cand","House"
"Fletcher Lizzie","$1000","$0","$1000","Candidate (D-TX07)","Democrat","Cand","House"
"Slotkin Elissa","$1000","$0","$1000","Candidate (D-MI08)","Democrat","Cand","House"
"Larson John","$1000","$0","$1000","Candidate (D-CT01)","Democrat","Cand","House"
"Takano Mark","$1000","$0","$1000","Candidate (D-CA41)","Democrat","Cand","House"
"Smith Chris","$1000","$0","$1000","Candidate (R-NJ04)","Republican","Cand","House"
"Gallego Ruben","$1000","$0","$1000","Candidate (D-AZ07)","Democrat","Cand","House"
"Delgado Antonio","$1000","$0","$1000","Candidate (D-NY19)","Democrat","Cand","House"
"Neguse Joseph","$1000","$0","$1000","Candidate (D-CO02)","Democrat","Cand","House"
"Jones Gina Ortiz","$1000","$0","$1000","Candidate (D-TX23)","Democrat","Cand","House"
"Swalwell Eric","$1000","$0","$1000","Candidate (D-CA15)","Democrat","Cand","House"
"Raskin Jamie","$1000","$0","$1000","Candidate (D-MD08)","Democrat","Cand","House"
"Correa Lou","$1000","$0","$1000","Candidate (D-CA46)","Democrat","Cand","House"
"O'Halleran Tom","$1000","$0","$1000","Candidate (D-AZ01)","Democrat","Cand","House"
"Wexton Jennifer","$1000","$0","$1000","Candidate (D-VA10)","Democrat","Cand","House"
"Schrier Kim","$1000","$0","$1000","Candidate (D-WA08)","Democrat","Cand","House"
"Stanton Greg","$1000","$0","$1000","Candidate (D-AZ09)","Democrat","Cand","House"
"Garcia Sylvia","$1000","$0","$1000","Candidate (D-TX29)","Democrat","Cand","House"
"Cohen Steve","$1000","$0","$1000","Candidate (D-TN09)","Democrat","Cand","House"
"Johnson Hank","$1000","$0","$1000","Candidate (D-GA04)","Democrat","Cand","House"
"Cartwright Matt","$1000","$0","$1000","Candidate (D-PA08)","Democrat","Cand","House"
"Meng Grace","$1000","$0","$1000","Candidate (D-NY06)","Democrat","Cand","House"
"Craig Angie","$1000","$0","$1000","Candidate (D-MN02)","Democrat","Cand","House"
"Richmond Cedric","$1000","$0","$1000","Candidate (D-LA02)","Democrat","Cand","House"
"Haaland Debra","$1000","$0","$1000","Candidate (D-NM01)","Democrat","Cand","House"
"Allred Colin","$1000","$0","$1000","Candidate (D-TX32)","Democrat","Cand","House"
"Lamb Conor","$1000","$0","$1000","Candidate (D-PA17)","Democrat","Cand","House"
"Pappas Chris","$1000","$0","$1000","Candidate (D-NH01)","Democrat","Cand","House"
"Luria Elaine","$1000","$0","$1000","Candidate (D-VA02)","Democrat","Cand","House"
"Scanlon Mary Gay","$1000","$0","$1000","Candidate (D-PA05)","Democrat","Cand","House"
"Torres Ritchie","$300","$300","$0","Candidate (D-NY15)","Democrat","Cand","House"
"Scholten JD","$273","$273","$0","Candidate (D-IA04)","Democrat","Cand","House"
"Williams Nikema Natassha","$250","$250","$0","Candidate (D-GA05)","Democrat","Cand","House"
"Valenzuela Candace","$244","$244","$0","Candidate (D-TX24)","Democrat","Cand","House"
"Ocasio-Cortez Alexandria","$235","$235","$0","Candidate (D-NY14)","Democrat","Cand","House"
"Hart Rita","$221","$221","$0","Candidate (D-IA02)","Democrat","Cand","House"
"Pressley Ayanna","$196","$196","$0","Candidate (D-MA07)","Democrat","Cand","House"
"Smith Christy","$165","$165","$0","Candidate (D-CA25)","Democrat","Cand","House"
"Bowman Jamaal","$145","$145","$0","Candidate (D-NY16)","Democrat","Cand","House"
"Cobb Tedra","$120","$120","$0","Candidate (D-NY21)","Democrat","Cand","House"
"Ladjevardian Sima","$105","$105","$0","Candidate (D-TX02)","Democrat","Cand","House"
"Schmid Stephanie","$100","$100","$0","Candidate (D-NJ04)","Democrat","Cand","House"
"Goldbeck Janessa","$100","$100","$0","Candidate (D-CA53)","Democrat","Cand","House"
"Bush Cori","$100","$100","$0","Candidate (D-MO01)","Democrat","Cand","House"
"Kulkarni Sri","$100","$100","$0","Candidate (D-TX22)","Democrat","Cand","House"
"Gomez Georgette","$100","$100","$0","Candidate (D-CA53)","Democrat","Cand","House"
"Williams Vangie","$75","$75","$0","Candidate (D-VA01)","Democrat","Cand","House"
"Ryan Tim","$70","$70","$0","Candidate (D-OH13)","Democrat","Cand","House"
"Morse Alex","$65","$65","$0","Candidate (D-MA01)","Democrat","Cand","House"
"Omar Ilhan","$61","$61","$0","Candidate (D-MN05)","Democrat","Cand","House"
"Cardnell Elisa","$50","$50","$0","Candidate (D-TX02)","Democrat","Cand","House"
"Gilbert Hank","$50","$50","$0","Candidate (D-TX01)","Democrat","Cand","House"
"Small Xochitl Torres","$45","$45","$0","Candidate (D-NM02)","Democrat","Cand","House"
"Feehan Daniel","$45","$45","$0","Candidate (D-MN01)","Democrat","Cand","House"
"Khalil Peter","$40","$40","$0","Candidate (D-WA03)","Democrat","Cand","House"
"Tlaib Rashida","$32","$32","$0","Candidate (D-MI13)","Democrat","Cand","House"
"Tims Desiree","$30","$30","$0","Candidate (D-OH10)","Democrat","Cand","House"
"Frankel Amanda Pearl","$25","$25","$0","Candidate (D-NY10)","Democrat","Cand","House"
"Barrett Dana","$25","$25","$0","Candidate (D-GA11)","Democrat","Cand","House"
"Karinshak Zahra S.","$20","$20","$0","Candidate (D-GA07)","Democrat","Cand","House"
"Balter Dana","$20","$20","$0","Candidate (D-NY24)","Democrat","Cand","House"
"De La Isla Michelle","$20","$20","$0","Candidate (D-KS02)","Democrat","Cand","House"
"Ehr Phil","$20","$20","$0","Candidate (D-FL01)","Democrat","Cand","House"
"Lopez Samelys","$17","$17","$0","Candidate (D-NY15)","Democrat","Cand","House"
"Maher Pat","$15","$15","$0","Candidate (D-NY02)","Democrat","Cand","House"
"Olson Kim","$15","$15","$0","Candidate (D-TX24)","Democrat","Cand","House"
"Schultz Debbie Wasserman","$15","$15","$0","Candidate (D-FL23)","Democrat","Cand","House"
"Timmons-Goodson Patricia","$10","$10","$0","Candidate (D-NC08)","Democrat","Cand","House"
"Schupp Jill","$10","$10","$0","Candidate (D-MO02)","Democrat","Cand","House"
"Keith Pam","$10","$10","$0","Candidate (D-FL18)","Democrat","Cand","House"
"Tipirneni Hiral","$10","$10","$0","Candidate (D-AZ06)","Democrat","Cand","House"
"Elliott Joyce","$10","$10","$0","Candidate (D-AR02)","Democrat","Cand","House"
"Harder Josh","$10","$10","$0","Candidate (D-CA10)","Democrat","Cand","House"
"Arballo Phil","$10","$10","$0","Candidate (D-CA22)","Democrat","Cand","House"
"Watson Melissa","$10","$10","$0","Candidate (D-SC07)","Democrat","Cand","House"
"Strickland Marilyn","$5","$5","$0","Candidate (D-WA10)","Democrat","Cand","House"
"Plame Valerie","$5","$5","$0","Candidate (D-NM03)","Democrat","Cand","House"
